Song,Album,Genres,Year,Rank
Breathe,Breathe,"['country dawn', 'contemporary country', 'country road', 'country']",2000,1
Smooth (feat. Rob Thomas),Supernatural (Remastered),"['mexican classic rock', 'neo mellow', 'post-grunge', 'blues rock', 'classic rock', 'pop rock']",2000,2
Maria Maria (feat. The Product G&B),Supernatural (Remastered),"['classic rock', 'blues rock', 'mexican classic rock']",2000,3
I Wanna Know,My Name Is Joe,"['contemporary r&b', 'urban contemporary', 'r&b']",2000,4
Everything You Want,Everything You Want,"['neo mellow', 'pop rock', 'post-grunge']",2000,5
Say My Name,The Writing's On The Wall,"['dance pop', 'urban contemporary', 'girl group', 'pop', 'r&b']",2000,6
I Knew I Loved You,Affirmation,"['pop rock', 'dance pop', 'boy band']",2000,7
Amazed,Lonely Grill,"['contemporary country', 'country road', 'country']",2000,8
Bent,Mad Season,"['neo mellow', 'pop rock', 'post-grunge']",2000,9
He Wasn't Man Enough,The Heat,"['contemporary r&b', 'dance pop', 'urban contemporary', 'r&b']",2000,10
Higher,Human Clay,"['post-grunge', 'alternative metal', 'rock', 'nu metal']",2000,11
Try Again,Aaliyah,"['hip pop', 'dance pop', 'urban contemporary', 'contemporary r&b', 'r&b']",2000,12
"Jumpin', Jumpin'",The Writing's On The Wall,"['dance pop', 'urban contemporary', 'girl group', 'pop', 'r&b']",2000,13
Thong Song,Unleash The Dragon,"['hip pop', 'urban contemporary', 'dirty south rap', 'contemporary r&b', 'r&b']",2000,14
Kryptonite,The Better Life,"['post-grunge', 'alternative metal', 'rock', 'nu metal']",2000,15
Music,Music,"['dance pop', 'pop']",2000,17
Doesn't Really Matter,2000's Kids,"['dance pop', 'urban contemporary', 'r&b']",2000,18
What a Girl Wants,Christina Aguilera (Expanded Edition),"['dance pop', 'pop']",2000,19
Back At One,Back At One,"['contemporary r&b', 'quiet storm', 'urban contemporary', 'r&b']",2000,20
Bye Bye Bye,No Strings Attached,"['dance pop', 'boy band', 'pop']",2000,21
You Sang To Me,Marc Anthony,"['salsa', 'modern salsa', 'latin pop', 'tropical']",2000,22
I Need to Know,Marc Anthony,"['salsa', 'modern salsa', 'latin pop', 'tropical']",2000,23
Get It On Tonite,Best Of Montell Jordan,"['contemporary r&b', 'new jack swing', 'urban contemporary', 'r&b']",2000,24
Incomplete,Unleash The Dragon,"['hip pop', 'urban contemporary', 'dirty south rap', 'contemporary r&b', 'r&b']",2000,25
I Try,On How Life Is,['neo soul'],2000,26
It's Gonna Be Me,No Strings Attached,"['dance pop', 'boy band', 'pop']",2000,27
That's the Way It Is,The Very Best of Celine Dion,['canadian pop'],2000,28
Country Grammar (Hot Shit),Country Grammar,"['gangster rap', 'dance pop', 'urban contemporary', 'st louis rap', 'rap', 'hip hop', 'pop rap']",2000,29
Bring It All to Me (feat. *NSYNC),Blaque,"['hip pop', 'dance pop', 'urban contemporary', 'girl group', 'boy band', 'pop', 'contemporary r&b', 'r&b']",2000,30
Show Me the Meaning of Being Lonely,Millennium,"['dance pop', 'boy band', 'pop']",2000,31
Hot Boyz,Da Real World,"['hip pop', 'dance pop', 'urban contemporary', 'rap', 'virginia hip hop', 'hip hop', 'neo soul', 'pop rap', 'r&b']",2000,32
Back Here,Sooner Or Later,['boy band'],2000,33
Absolutely (Story of a Girl) - Radio Mix,The Madding Crowd,['pop rock'],2000,35
With Arms Wide Open,Human Clay,"['post-grunge', 'alternative metal', 'rock', 'nu metal']",2000,36
Be With You,Enrique,"['dance pop', 'mexican pop', 'latin pop']",2000,37
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera (Expanded Edition),"['dance pop', 'pop']",2000,38
No More,Love Crimes,"['contemporary r&b', 'r&b']",2000,39
All The Small Things,Enema Of The State,"['pop punk', 'alternative metal', 'rock', 'punk', 'modern rock', 'socal pop punk']",2000,40
The Way You Love Me,Breathe,"['country dawn', 'contemporary country', 'country road', 'country']",2000,41
I Turn to You,Christina Aguilera (Expanded Edition),"['dance pop', 'pop']",2000,42
Never Let You Go - 2008 Remaster,Blue,"['pop rock', 'alternative metal', 'post-grunge']",2000,43
I Need You,I Need You,"['country dawn', 'contemporary country', 'country road', 'country']",2000,44
Thank God I Do,Thank God I Do,"['christian alternative rock', 'christian music', 'ccm']",2000,45
